date,X,Y
2019-01-01 00:00:00,0,384
2019-01-01 01:00:00,1,660
2019-01-01 02:00:00,2,641
2019-01-01 03:00:00,3,456
2019-01-01 04:00:00,4,315
2019-01-01 05:00:00,5,299
2019-01-01 06:00:00,6,279
2019-01-01 07:00:00,7,347
2019-01-01 08:00:00,8,451
2019-01-01 09:00:00,9,768
2019-01-01 10:00:00,10,1433
2019-01-01 11:00:00,11,2292
2019-01-01 12:00:00,12,2642
2019-01-01 13:00:00,13,2816
2019-01-01 14:00:00,14,2962
2019-01-01 15:00:00,15,3003
2019-01-01 16:00:00,16,3129
2019-01-01 17:00:00,17,3074
2019-01-01 18:00:00,18,2613
2019-01-01 19:00:00,19,2143
2019-01-01 20:00:00,20,1657
2019-01-01 21:00:00,21,1169
2019-01-01 22:00:00,22,862
2019-01-01 23:00:00,23,628
2019-01-02 00:00:00,0,511
2019-01-02 01:00:00,1,388
2019-01-02 02:00:00,2,283
2019-01-02 03:00:00,3,254
2019-01-02 04:00:00,4,350
2019-01-02 05:00:00,5,493
2019-01-02 06:00:00,6,578
2019-01-02 07:00:00,7,791
2019-01-02 08:00:00,8,1134
2019-01-02 09:00:00,9,2078
2019-01-02 10:00:00,10,3034
2019-01-02 11:00:00,11,3761
2019-01-02 12:00:00,12,3626
2019-01-02 13:00:00,13,3564
2019-01-02 14:00:00,14,3516
2019-01-02 15:00:00,15,3694
2019-01-02 16:00:00,16,3501
2019-01-02 17:00:00,17,3509
2019-01-02 18:00:00,18,3252
2019-01-02 19:00:00,19,2648
2019-01-02 20:00:00,20,1945
2019-01-02 21:00:00,21,1279
2019-01-02 22:00:00,22,1043
2019-01-02 23:00:00,23,843
2019-01-03 00:00:00,0,664
2019-01-03 01:00:00,1,525
2019-01-03 02:00:00,2,475
2019-01-03 03:00:00,3,563
2019-01-03 04:00:00,4,764
2019-01-03 05:00:00,5,1703
2019-01-03 06:00:00,6,3967
2019-01-03 07:00:00,7,4774
2019-01-03 08:00:00,8,3713
2019-01-03 09:00:00,9,3518
2019-01-03 10:00:00,10,3720
2019-01-03 11:00:00,11,4056
2019-01-03 12:00:00,12,4169
2019-01-03 13:00:00,13,4373
2019-01-03 14:00:00,14,4943
2019-01-03 15:00:00,15,6153
2019-01-03 16:00:00,16,5789
2019-01-03 17:00:00,17,4411
2019-01-03 18:00:00,18,3409
2019-01-03 19:00:00,19,2666
2019-01-03 20:00:00,20,2066
2019-01-03 21:00:00,21,1470
2019-01-03 22:00:00,22,1195
2019-01-03 23:00:00,23,903
2019-01-04 00:00:00,0,786
2019-01-04 01:00:00,1,591
2019-01-04 02:00:00,2,586
2019-01-04 03:00:00,3,624
2019-01-04 04:00:00,4,779
2019-01-04 05:00:00,5,1819
2019-01-04 06:00:00,6,3940
2019-01-04 07:00:00,7,4996
2019-01-04 08:00:00,8,4018
2019-01-04 09:00:00,9,3850
2019-01-04 10:00:00,10,4199
2019-01-04 11:00:00,11,4620
2019-01-04 12:00:00,12,4839
2019-01-04 13:00:00,13,5198
2019-01-04 14:00:00,14,5985
2019-01-04 15:00:00,15,6749
2019-01-04 16:00:00,16,6277
2019-01-04 17:00:00,17,5206
2019-01-04 18:00:00,18,4264
2019-01-04 19:00:00,19,3347
2019-01-04 20:00:00,20,2660
2019-01-04 21:00:00,21,1870
2019-01-04 22:00:00,22,1508
2019-01-04 23:00:00,23,1196
2019-01-05 00:00:00,0,1084
2019-01-05 01:00:00,1,891
2019-01-05 02:00:00,2,883
2019-01-05 03:00:00,3,866
2019-01-05 04:00:00,4,937
2019-01-05 05:00:00,5,1331
2019-01-05 06:00:00,6,1744
2019-01-05 07:00:00,7,2409
2019-01-05 08:00:00,8,2948
2019-01-05 09:00:00,9,3778
2019-01-05 10:00:00,10,4317
2019-01-05 11:00:00,11,4819
2019-01-05 12:00:00,12,4781
2019-01-05 13:00:00,13,4598
2019-01-05 14:00:00,14,4450
2019-01-05 15:00:00,15,4350
2019-01-05 16:00:00,16,4271
2019-01-05 17:00:00,17,4135
2019-01-05 18:00:00,18,3727
2019-01-05 19:00:00,19,3376
2019-01-05 20:00:00,20,2934
2019-01-05 21:00:00,21,2451
2019-01-05 22:00:00,22,2032
2019-01-05 23:00:00,23,1553
2019-01-06 00:00:00,0,1313
2019-01-06 01:00:00,1,1070
2019-01-06 02:00:00,2,986
2019-01-06 03:00:00,3,877
2019-01-06 04:00:00,4,866
2019-01-06 05:00:00,5,1084
2019-01-06 06:00:00,6,1190
2019-01-06 07:00:00,7,1545
2019-01-06 08:00:00,8,1938
2019-01-06 09:00:00,9,2589
2019-01-06 10:00:00,10,3207
2019-01-06 11:00:00,11,3721
2019-01-06 12:00:00,12,3803
2019-01-06 13:00:00,13,3750
2019-01-06 14:00:00,14,3737
2019-01-06 15:00:00,15,3436
2019-01-06 16:00:00,16,3473
2019-01-06 17:00:00,17,3628
2019-01-06 18:00:00,18,3215
2019-01-06 19:00:00,19,2684
2019-01-06 20:00:00,20,2132
2019-01-06 21:00:00,21,1463
2019-01-06 22:00:00,22,1075
2019-01-06 23:00:00,23,761
2019-01-07 00:00:00,0,489
2019-01-07 01:00:00,1,409
2019-01-07 02:00:00,2,390
2019-01-07 03:00:00,3,457
2019-01-07 04:00:00,4,723
2019-01-07 05:00:00,5,1935
2019-01-07 06:00:00,6,4169
2019-01-07 07:00:00,7,5419
2019-01-07 08:00:00,8,4761
2019-01-07 09:00:00,9,3451
2019-01-07 10:00:00,10,3524
2019-01-07 11:00:00,11,3844
2019-01-07 12:00:00,12,4135
2019-01-07 13:00:00,13,4199
2019-01-07 14:00:00,14,4944
2019-01-07 15:00:00,15,6468
2019-01-07 16:00:00,16,6071
2019-01-07 17:00:00,17,4582
2019-01-07 18:00:00,18,3444
2019-01-07 19:00:00,19,2717
2019-01-07 20:00:00,20,2108
2019-01-07 21:00:00,21,1506
2019-01-07 22:00:00,22,1314
2019-01-07 23:00:00,23,741
2019-01-08 00:00:00,0,432
2019-01-08 01:00:00,1,385
2019-01-08 02:00:00,2,337
2019-01-08 03:00:00,3,421
2019-01-08 04:00:00,4,661
2019-01-08 05:00:00,5,1874
2019-01-08 06:00:00,6,4315
2019-01-08 07:00:00,7,5556
2019-01-08 08:00:00,8,4706
2019-01-08 09:00:00,9,3532
2019-01-08 10:00:00,10,3495
2019-01-08 11:00:00,11,3736
2019-01-08 12:00:00,12,3931
2019-01-08 13:00:00,13,4408
2019-01-08 14:00:00,14,4956
2019-01-08 15:00:00,15,6520
2019-01-08 16:00:00,16,6195
2019-01-08 17:00:00,17,4455
2019-01-08 18:00:00,18,3521
2019-01-08 19:00:00,19,2902
2019-01-08 20:00:00,20,2228
2019-01-08 21:00:00,21,1563
2019-01-08 22:00:00,22,1286
2019-01-08 23:00:00,23,743
2019-01-09 00:00:00,0,454
2019-01-09 01:00:00,1,346
2019-01-09 02:00:00,2,372
2019-01-09 03:00:00,3,393
2019-01-09 04:00:00,4,653
2019-01-09 05:00:00,5,1828
2019-01-09 06:00:00,6,4324
2019-01-09 07:00:00,7,5621
2019-01-09 08:00:00,8,4692
2019-01-09 09:00:00,9,3632
2019-01-09 10:00:00,10,3459
2019-01-09 11:00:00,11,3847
2019-01-09 12:00:00,12,3923
2019-01-09 13:00:00,13,4271
2019-01-09 14:00:00,14,5027
2019-01-09 15:00:00,15,6416
2019-01-09 16:00:00,16,6416
2019-01-09 17:00:00,17,4878
2019-01-09 18:00:00,18,3619
2019-01-09 19:00:00,19,2768
2019-01-09 20:00:00,20,2149
2019-01-09 21:00:00,21,1562
2019-01-09 22:00:00,22,1107
2019-01-09 23:00:00,23,601
2019-01-10 00:00:00,0,432
2019-01-10 01:00:00,1,313
2019-01-10 02:00:00,2,303
2019-01-10 03:00:00,3,395
2019-01-10 04:00:00,4,639
2019-01-10 05:00:00,5,1833
2019-01-10 06:00:00,6,4362
2019-01-10 07:00:00,7,5679
2019-01-10 08:00:00,8,5015
2019-01-10 09:00:00,9,3648
2019-01-10 10:00:00,10,3529
2019-01-10 11:00:00,11,3810
2019-01-10 12:00:00,12,4002
2019-01-10 13:00:00,13,4361
2019-01-10 14:00:00,14,5085
2019-01-10 15:00:00,15,6550
2019-01-10 16:00:00,16,6503
2019-01-10 17:00:00,17,4841
2019-01-10 18:00:00,18,3602
2019-01-10 19:00:00,19,2954
2019-01-10 20:00:00,20,2187
2019-01-10 21:00:00,21,1460
2019-01-10 22:00:00,22,1115
2019-01-10 23:00:00,23,685
2019-01-11 00:00:00,0,488
2019-01-11 01:00:00,1,390
2019-01-11 02:00:00,2,389
2019-01-11 03:00:00,3,381
2019-01-11 04:00:00,4,680
2019-01-11 05:00:00,5,1859
2019-01-11 06:00:00,6,4538
2019-01-11 07:00:00,7,5714
2019-01-11 08:00:00,8,4651
2019-01-11 09:00:00,9,3752
2019-01-11 10:00:00,10,3777
2019-01-11 11:00:00,11,4100
2019-01-11 12:00:00,12,4201
2019-01-11 13:00:00,13,4928
2019-01-11 14:00:00,14,5921
2019-01-11 15:00:00,15,6653
2019-01-11 16:00:00,16,6089
2019-01-11 17:00:00,17,4940
2019-01-11 18:00:00,18,4088
2019-01-11 19:00:00,19,3391
2019-01-11 20:00:00,20,2678
2019-01-11 21:00:00,21,1853
2019-01-11 22:00:00,22,1415
2019-01-11 23:00:00,23,977
2019-01-12 00:00:00,0,775
2019-01-12 01:00:00,1,504
2019-01-12 02:00:00,2,470
2019-01-12 03:00:00,3,455
2019-01-12 04:00:00,4,565
2019-01-12 05:00:00,5,979
2019-01-12 06:00:00,6,1505
2019-01-12 07:00:00,7,2127
2019-01-12 08:00:00,8,2662
2019-01-12 09:00:00,9,3393
2019-01-12 10:00:00,10,3848
2019-01-12 11:00:00,11,4164
2019-01-12 12:00:00,12,4508
2019-01-12 13:00:00,13,4566
2019-01-12 14:00:00,14,4227
2019-01-12 15:00:00,15,4482
2019-01-12 16:00:00,16,4458
2019-01-12 17:00:00,17,4359
2019-01-12 18:00:00,18,3783
2019-01-12 19:00:00,19,3030
2019-01-12 20:00:00,20,2347
2019-01-12 21:00:00,21,1774
2019-01-12 22:00:00,22,1299
2019-01-12 23:00:00,23,990
2019-01-13 00:00:00,0,706
2019-01-13 01:00:00,1,584
2019-01-13 02:00:00,2,458
2019-01-13 03:00:00,3,459
2019-01-13 04:00:00,4,383
2019-01-13 05:00:00,5,491
2019-01-13 06:00:00,6,735
2019-01-13 07:00:00,7,892
2019-01-13 08:00:00,8,1441
2019-01-13 09:00:00,9,2218
2019-01-13 10:00:00,10,2784
2019-01-13 11:00:00,11,3303
2019-01-13 12:00:00,12,3177
2019-01-13 13:00:00,13,3065
2019-01-13 14:00:00,14,3262
2019-01-13 15:00:00,15,3274
2019-01-13 16:00:00,16,3354
2019-01-13 17:00:00,17,3322
2019-01-13 18:00:00,18,3021
2019-01-13 19:00:00,19,2463
2019-01-13 20:00:00,20,1778
2019-01-13 21:00:00,21,1379
2019-01-13 22:00:00,22,1044
2019-01-13 23:00:00,23,771
2019-01-14 00:00:00,0,641
2019-01-14 01:00:00,1,376
2019-01-14 02:00:00,2,343
2019-01-14 03:00:00,3,482
2019-01-14 04:00:00,4,835
2019-01-14 05:00:00,5,2146
2019-01-14 06:00:00,6,4641
