X,Y,time_period
0.0,858.0,weekends April 2019
1.0,677.0,weekends April 2019
2.0,587.0,weekends April 2019
3.0,549.0,weekends April 2019
4.0,646.0,weekends April 2019
5.0,1076.0,weekends April 2019
6.0,1831.0,weekends April 2019
7.0,2488.0,weekends April 2019
8.0,3172.0,weekends April 2019
9.0,3865.0,weekends April 2019
10.0,4142.0,weekends April 2019
11.0,4080.0,weekends April 2019
12.0,4089.0,weekends April 2019
13.0,3960.0,weekends April 2019
14.0,3836.0,weekends April 2019
15.0,3819.0,weekends April 2019
16.0,3731.0,weekends April 2019
17.0,3614.0,weekends April 2019
18.0,3462.0,weekends April 2019
19.0,3180.0,weekends April 2019
20.0,2579.0,weekends April 2019
13.0,3334.0,weekends April 2019
14.0,3457.0,weekends April 2019
15.0,3489.0,weekends April 2019
16.0,3567.0,weekends April 2019
17.0,3485.0,weekends April 2019
18.0,3545.0,weekends April 2019
19.0,2995.0,weekends April 2019
21.0,1751.0,weekends April 2019
22.0,1273.0,weekends April 2019
23.0,852.0,weekends April 2019
0.0,1199.0,weekends April 2019
3.0,894.0,weekends April 2019
4.0,919.0,weekends April 2019
5.0,1534.0,weekends April 2019
6.0,2287.0,weekends April 2019
9.0,3980.0,weekends April 2019
10.0,4326.0,weekends April 2019
11.0,4383.0,weekends April 2019
19.0,3443.0,weekends April 2019
22.0,1345.0,weekends April 2019
23.0,964.0,weekends April 2019
0.0,832.0,weekends April 2019
1.0,652.0,weekends April 2019
2.0,514.0,weekends April 2019
3.0,456.0,weekends April 2019
4.0,460.0,weekends April 2019
5.0,608.0,weekends April 2019
6.0,976.0,weekends April 2019
7.0,1372.0,weekends April 2019
8.0,1906.0,weekends April 2019
12.0,3599.0,weekends April 2019
13.0,3666.0,weekends April 2019
14.0,3908.0,weekends April 2019
15.0,3782.0,weekends April 2019
16.0,3752.0,weekends April 2019
17.0,3678.0,weekends April 2019
18.0,3809.0,weekends April 2019
20.0,2477.0,weekends April 2019
21.0,1836.0,weekends April 2019
22.0,1392.0,weekends April 2019
23.0,885.0,weekends April 2019
1.0,997.0,weekends April 2019
2.0,877.0,weekends April 2019
3.0,866.0,weekends April 2019
4.0,965.0,weekends April 2019
5.0,1389.0,weekends April 2019
6.0,2063.0,weekends April 2019
7.0,2630.0,weekends April 2019
8.0,3353.0,weekends April 2019
9.0,3887.0,weekends April 2019
10.0,4270.0,weekends April 2019
11.0,4154.0,weekends April 2019
12.0,3896.0,weekends April 2019
13.0,3760.0,weekends April 2019
14.0,3672.0,weekends April 2019
15.0,3493.0,weekends April 2019
16.0,3281.0,weekends April 2019
17.0,3338.0,weekends April 2019
18.0,3365.0,weekends April 2019
19.0,3139.0,weekends April 2019
20.0,2540.0,weekends April 2019
21.0,1890.0,weekends April 2019
22.0,1322.0,weekends April 2019
23.0,870.0,weekends April 2019
9.0,2767.0,weekends April 2019
10.0,3369.0,weekends April 2019
11.0,3464.0,weekends April 2019
18.0,3492.0,weekends April 2019
19.0,3504.0,weekends April 2019
20.0,2810.0,weekends April 2019
21.0,1867.0,weekends April 2019
22.0,1468.0,weekends April 2019
23.0,1003.0,weekends April 2019
0.0,1137.0,weekends April 2019
1.0,928.0,weekends April 2019
2.0,854.0,weekends April 2019
7.0,2656.0,weekends April 2019
8.0,3141.0,weekends April 2019
11.0,4173.0,weekends April 2019
12.0,3597.0,weekends April 2019
