,model_type,n_components,amplitude,mesor,peaks,heights,p,RSS,AIC,BIC,log_likelihood,logs,mean(est),Y(est)
0,poisson,1,2310.54,3499.23,[12.91],[5809.77],1.1102230246251565e-16,6362618946.703252,2203994.6633545477,2204014.3239299096,-1101994.3316772738,"[-144.59713541 -173.53495101 -391.19228218 ...  -88.62020995 -393.89266944
 -277.602131  ]",3057.6206199158655,"[1188.83472007 1226.12940894 1332.02797406 ... 2667.4064481  5675.96050934
 5808.99418968]"
1,poisson,2,2394.4,2944.97,[ 8.91 16.32],[4693.3  5339.37],1.1102230246251565e-16,2812110234.118806,910555.4543003547,910588.2219259581,-455272.72715017735,"[ -12.62760872   -4.54460654 -145.3114541  ... -568.39564473  -32.86868274
   -7.75533075]",3057.730368483722,"[ 559.87459581  663.73871791  914.80808725 ... 3935.59411303 4182.19207144
 4273.28555153]"
2,poisson,3,2553.28,3528.61,[ 8.81 15.92],[5071.47 6081.89],1.1102230246251565e-16,5190179293.879203,2272226.586653969,2272272.4613298136,-1136106.2933269844,"[-348.14877253 -405.35268594 -604.77455616 ... -491.15806151  -14.7063129
  -37.74470609]",3056.904524053367,"[1580.21325511 1647.16665733 1640.63068958 ... 3772.6424298  3447.47237604
 3625.55993743]"
3,poisson,4,2385.74,3108.04,[ 7.31 13.01 16.72],[4837.53 4566.   5493.78],1.1102230246251565e-16,3874357326.4148393,1958391.7017788612,1958450.6835049472,-979186.8508894306,"[ -372.26261772  -247.94651429  -318.32969419 ... -1014.24051904
   -61.52555403   -27.30990116]",3055.6533373295015,"[1621.24653808 1373.11437917 1218.57031779 ... 4772.0856869  4394.57731701
 4566.07936355]"
4,poisson,5,2598.22,3265.88,[ 7.01 15.52],[5864.1  5570.54],1.1102230246251565e-16,3321463637.043721,1495687.8114555222,1495759.9002318494,-747832.9057277611,"[ -437.17349667  -187.07782203  -114.10350858 ... -1689.06818506
    -6.29224166   -25.23822168]",3059.6629894518887,"[1728.39667961 1254.16248153  850.20318471 ... 5864.87669405 3613.0084386
 3728.63062767]"
5,poisson,6,2734.34,2982.73,[ 8.31 15.42],[4704.69 5717.07],1.1102230246251565e-16,3267572692.3161535,1249147.1177947694,1249232.313621338,-624560.5588973847,"[ -53.80393257 -141.02848892  -43.05843714 ... -652.50683806  -27.64421915
 -124.5965235 ]",3056.654953995397,"[ 950.08308913  307.93528254  292.31904534 ... 4105.2587233  4133.80590548
 5196.96073218]"
6,poisson,7,2880.35,3493.82,[ 7.41 15.12],[4789.94 6374.17],1.1102230246251565e-16,4932691316.342909,2124077.9170823074,2124176.2199591175,-1062023.9585411537,"[-554.63017022  -66.53981134  -31.70808345 ... -908.29020447  -61.16437026
  -13.16624014]",3060.0651239796443,"[1912.73915426  966.84745662  634.01894039 ... 4585.12339336 4392.25880502
 4386.6230132 ]"
7,poisson,8,2842.97,3313.83,[ 6.91 15.32 17.22],[4931.03 6156.8  5211.45],1.1102230246251565e-16,3640825267.477126,1505146.9553129086,1505258.36523996,-752556.4776564543,"[ -314.53102848    -7.20129452  -113.6786719  ... -1096.97241438
   -29.39682106   -46.18719384]",3059.369993769402,"[1521.68693775  580.47897266  849.28634006 ... 4914.3717995  4150.56475266
 4732.92375565]"
8,poisson,9,2630.43,3381.12,[ 8.51 13.61 16.42],[5723.12 6011.55 4942.92],1.1102230246251565e-16,7312447489.466978,2709144.8635145957,2709269.380491888,-1354553.4317572978,"[-1749.54515838  -270.79904169   -71.31945363 ...  -296.70117016
   -49.77866867  -155.86888626]",3113.8949329526495,"[3507.93912211 1415.41629531  750.60102204 ... 3317.7209375  4315.37059682
 5340.78716627]"
9,poisson,10,3026.52,3678.16,[ 7.11 15.92 18.42],[5819.24 6704.67 5654.44],1.1102230246251565e-16,6044706619.097504,2471740.902584112,2471878.5266116457,-1235849.451292056,"[ -288.89345166  -151.91343779  -589.35780519 ... -1629.51220733
   -58.10277243    -9.99014853]",3010.262505013314,"[1475.87344895 1179.83986945 1619.22534423 ... 5773.48579948 3116.41206956
 4327.4818085 ]"
10,zero_poisson,1,2310.7,3499.35,[12.91],[5810.05],1.1102230246251565e-16,6362921653.256113,2203994.6447097138,2204014.3052850757,-1101994.3223548569,"[-144.57836228 -173.51533514 -391.16702448 ...  -88.62563349 -393.9857442
 -277.68338967]",3057.687188525874,"[1188.79251661 1226.08830344 1331.98956865 ... 2667.42903782 5676.22907857
 5809.27414518]"
11,zero_poisson,2,2531.17,2531.17,[8.41],[5062.33],1.1102230246251565e-16,41403628955.108284,1381594.8932470672,1381627.6608726706,-690792.4466235336,"[  -8.97272172  -36.32573413 -327.35801851 ... -909.32804     -81.72661092
  -47.34397669]",1509.202670613546,"[6.64832052e+00 3.18671342e+02 1.23255146e+03 ... 4.58698329e+03
 1.12232766e-10 0.00000000e+00]"
12,zero_poisson,3,2425.33,2425.33,[7.81],[4850.66],1.1102230246251565e-16,47448255399.569565,805795.2320120899,805841.1066879346,-402890.61600604496,"[ -85.51398494  -70.61162316  -35.73290317 ... -898.91485702  -58.25057407
  -78.35709352]",1061.853831379997,"[   0.            0.          647.966153   ... 4568.29469834    0.
    0.        ]"
13,zero_poisson,4,2447.84,2447.84,[ 6.21 11.91 15.72 18.22],[4698.3  4264.19 4895.69 4048.6 ],1.1102230246251565e-16,27526650033.980114,2454153.746994949,2454212.7287210347,-1227067.8734974745,"[ -98.95243956  -71.18661603 -388.17984599 ... -617.21367888  -42.79696412
   -8.20284955]",1514.5376069139563,"[   0.          980.44889808 1327.44335417 ... 4034.9488516  4263.78245849
 3964.63208556]"
14,zero_poisson,5,2918.21,2918.21,[14.41 16.22],[5085.92 5836.41],1.1102230246251565e-16,36184715053.12458,1722589.8276575797,1722661.9164339069,-861283.9138287898,"[-284.9718639  -142.08741155 -213.8075881  ... -988.07529213   -9.76515592
   -5.56236797]",1525.050928287159,"[0.00000000e+00 2.27330620e-01 1.04318663e+03 ... 0.00000000e+00
 3.89962408e+03 4.18631579e+03]"
15,zero_poisson,6,3319.96,3319.96,[16.52],[6639.92],1.1102230246251565e-16,52049217761.362274,1691488.162245258,1691573.3580718266,-845731.081122629,"[-145.98935823 -100.19087737 -168.92820999 ... -446.98786297  -27.63357567
 -251.6557607 ]",652.9815303583456,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 8.00490500e-05
 3.05558474e+03 0.00000000e+00]"
16,zero_poisson,7,3093.9,3093.9,[ 6.61 13.51 16.02 17.22],[4845.01 5734.27 6187.8  4851.04],1.1102230246251565e-16,10166852740.233711,1443928.5209645745,1444026.8238413844,-721949.2604822873,"[ -94.90562147 -105.35769875 -263.48188828 ... -898.95881574  -57.03073652
 -213.32287067]",2569.5627802144695,"[   0.         1071.60833641 1128.8468796  ... 4568.3737191  4365.23295767
 5575.75733084]"
17,zero_poisson,8,3795.41,3795.41,[15.12],[7590.81],1.1102230246251565e-16,38466711428.194214,1650814.3552370234,1650925.7651640747,-825390.1776185117,"[ -172.22509011   -90.42548248  -405.18117862 ... -1154.5092018
   -57.26335465   -20.45343101]",1434.3961732045725,"[3.39343240e-12 8.55671406e+01 1.35321085e+03 ... 0.00000000e+00
 4.36677878e+03 1.03102540e-02]"
